category,threshold,status
Women - Kurtas,0.20,done
Women - Dresses,0.23,done
Women - Jeans & Jeggings,0.28,done
Women - Tops,0.30,done
Women - Kurta Suit Sets,0.20,done
Men - Sweatshirts & Jackets,0.20,done
Men - Sneakers,0.30,done
Men - Shirts,0.27,done
Men - Tshirts, 0.20,done
Men - Jackets & Coats,0.25,done
Men - Jackets & Blazers,0.17,done
Infants - Dresses & Frocks,0.20,done
Girls - Dresses & Frocks,0.20,done
Girls - 3 Piece-Sets,0.20,done
Girls - 2 Piece-Sets,0.20,done
Boys - 2P-Kurta Sets,0.15,done
